CensusSection;HouseholdIncome2016
2807908038;50531
2807908039;55090
2807908040;57019
2807908041;39049
2807908042;41378
2807908043;63745
2807908044;58743
2807908045;34743
2807908046;29938
2807908047;27762
2807908048;27425
2807908049;62556
2807908050;41229
2807908051;46705
2807908052;44959
2807908053;24100
2807908054;46426
2807908055;49211
2807908056;48414
2807908057;47720
2807908058;47983
2807908059;48448
2807908060;55069
2807908061;30256
2807908062;25952
2807908063;24161
2807908064;23942
2807908065;22970
2807908066;25072
2807908067;24977
2807908068;24744
2807908069;25355
2807908071;25975
2807908072;25650
2807908073;26313
2807908074;26348
2807908075;25399
2807908076;27477
2807908077;27500
2807908078;31995
2807908079;31076
2807908080;27043
2807908081;31939
2807908082;27769
2807908083;26143
2807908084;25055
2807908085;28045
2807908086;27236
2807908087;27367
2807908088;26722
2807908089;28546
2807908090;52240
2807908091;32496
2807908092;31760
2807908093;40415
2807908094;42762
2807908095;57530
2807908096;58612
2807908097;63317
2807908098;66566
2807908099;64617
2807908100;76132
2807908102;72663
2807908103;76052
2807908104;25614
2807908105;25003
2807908106;23349
2807908107;23409
2807908108;25339
2807908109;27517
2807908110;35642
2807908111;43923
2807908112;21914
2807908113;31412
2807908114;23086
2807908115;24661
2807908116;25252
2807908117;28031
2807908119;28196
2807908120;27430
2807908121;25164
2807908122;24202
2807908123;29795
2807908124;28399
2807908125;33105
2807908126;30938
2807908128;65154
2807908129;27104
2807908130;34378
2807908131;64173
2807908132;89015
2807908133;55456
2807908134;89015
2807908135;82967
2807908136;46964
2807908137;89015
2807908138;89015
2807908139;59097
2807908140;44137
2807908141;60606
2807908142;46512
2807908143;74784
2807908144;63635
2807908145;61900
2807908146;72745
2807908147;80306
2807908148;51114
2807908149;40747
2807908150;87044
2807908151;48849
2807908152;89015
2807908153;47254
2807908154;69371
2807908155;53180
2807908156;57695
2807908157;37781
2807908158;89015
2807908159;73607
2807908160;56046
2807908161;62974
2807908162;58346
2807908163;63714
2807908164;57566
2807908165;62474
2807908166;38600
2807908167;76217
2807908168;45186
2807908169;52708
2807908170;54332
2807908171;51915
2807908172;44205
2807908173;61762
2807908174;50680
2807908175;89015
2807908176;74731
2807908177;44031
2807908178;58152
2807908179;46253
2807908180;47137
2807909001;34380
2807909002;37982
2807909004;37003
2807909005;31600
2807909006;37084
2807909007;40948
2807909008;56756
2807909009;34253
2807909010;54368
2807909011;41290
2807909012;38841
2807909013;33796
2807909014;46802
2807909015;48955
2807909016;35485
2807909017;47024
2807909018;81541
2807909019;60505
2807909020;62822
2807909021;62402
2807909022;52330
2807909023;41514
2807909024;65493
2807909025;77956
2807909026;37631
2807909028;46771
2807909029;51137
2807909030;86661
2807909031;45592
2807909033;63828
2807909034;70745
2807909035;56075
2807909036;39000
2807909037;55318
2807909038;52907
2807909039;41439
2807909040;38685
2807909041;89015
2807909043;89015
2807909044;66820
2807909045;64855
2807909046;56689
2807909047;43338
2807909049;36084
2807909050;34395
2807909051;40378
2807909052;37035
2807909053;48605
2807909054;25875
2807909055;43398
2807909056;47549
2807909057;27487
2807909058;27021
2807909060;26681
2807909061;26494
2807909063;35013
2807909064;26372
2807909065;22899
2807909066;28396
2807909067;23103
2807909068;27070
2807909069;32217
2807909070;31063
2807909071;89015
2807909072;89015
2807909073;89015
2807909074;37829
2807909075;77669
2807909076;26058
2807909077;42458
2807909078;89015
2807909079;63357
2807909080;68668
2807909081;59089
2807909082;36336
2807909083;71350
2807909084;38175
2807909085;77990
2807909086;89015
2807909087;89015
2807909088;57880
2807909089;89015
2807909090;41887
2807909091;85803
2807910001;27367
